keyword,avg_monthly_searches,three_month_change,yoy_change,competition,competition_index,top_bid_low_idr,top_bid_high_idr
bali villa wedding venues,50,0%,0%,Tinggi,77,7604.97,41639.70
bali wedding hotel,50,0%,-90%,Menengah,51,7839.46,54189.28
bali wedding places,5000,0%,0%,Menengah,39,10255.65,35883.01
bali wedding reception venues,5000,0%,0%,Menengah,57,8028.24,30990.08
bali wedding resort packages,50,0%,0%,Menengah,61,11646.68,37720.78
bali wedding venues seminyak,50,0%,0%,Menengah,39,,
ballroom bali,500,0%,0%,Rendah,3,3096.55,34755.43
beachfront wedding bali,500,0%,0%,Menengah,37,8695.86,33109.50
best bali wedding locations,500,0%,0%,Menengah,57,10084.11,37871.59
best wedding chapel in bali,50,-100%,-100%,Tidak diketahui,,,
best wedding place in bali,500,0%,0%,Menengah,57,10084.11,37871.59
best wedding venues uluwatu,50,0%,∞,Tinggi,86,,
cliff top wedding venues bali,50,0%,0%,Tinggi,95,7387.56,44481.98
cliff wedding venue bali,50,0%,0%,Tinggi,79,,
club med bali wedding,50,-100%,-100%,Tidak diketahui,,,
four seasons ubud wedding,50,0%,0%,Rendah,27,,
hotel near villa phalosa bali,50,0%,0%,Tinggi,80,5203.94,20380.94
hotel wedding venues bali,50,0%,-100%,Tidak diketahui,,,
iman villa bali wedding,50,0%,0%,Rendah,7,,
infinity chapel bali,50,0%,0%,Rendah,9,,
infinity chapel nusa dua bali,50,∞,∞,Rendah,24,,
jeeva saba bali wedding harga,50,0%,0%,Tinggi,86,3314.77,9825.79
jimbaran wedding venue,50,0%,0%,Menengah,64,7024.39,32421.33
legian beach hotel wedding,50,0%,0%,Rendah,14,,
luxury bali wedding,50,0%,0%,Menengah,37,11581.70,35632.97
luxury bali wedding venues,50,0%,0%,Menengah,38,7074.08,22155.58
maya ubud wedding,50,0%,0%,Rendah,30,5034.42,33239.02
nusa lembongan wedding venues,50,0%,0%,Menengah,46,13330.04,48380.20
ocean chapel bali,50,0%,0%,Rendah,4,,
ocean wedding bali,50,0%,0%,Rendah,23,7786.70,30360.34
padma legian wedding,50,0%,0%,Rendah,12,,
padma ubud wedding,50,0%,0%,Menengah,46,5530.85,19747.49
phalosa bali,500,0%,900%,Rendah,20,4341.21,21559.78
phalosa bali wedding,50,0%,0%,Rendah,26,,
phalosa bali wedding package,50,0%,0%,Menengah,39,,
phalosa seminyak,50,0%,0%,Rendah,25,1959.43,15819.32
phalosa villa bali wedding,50,0%,0%,Rendah,18,,
phalosa villa seminyak,50,900%,900%,Rendah,29,3182.81,18352.54
phalosa villa seminyak bali,50,900%,900%,Rendah,29,3182.81,18352.54
plenilunio bali,500,900%,0%,Rendah,17,3566.01,18922.68
plenilunio bali wedding,50,0%,0%,Rendah,4,,
plenilunio villa bali,50,0%,0%,Rendah,13,,
plenilunio villa uluwatu bali,50,0%,0%,Rendah,12,,
potato head bali wedding,50,0%,0%,Rendah,33,,
prama sanur beach bali wedding,50,0%,0%,Menengah,37,3582.88,15019.06
private wedding bali,50,0%,0%,Menengah,50,4372.73,15107.12
pushpapuri villa wedding bali,50,0%,-100%,Tidak diketahui,,,
ritz carlton bali wedding chapel,50,0%,0%,Rendah,10,,
royal santrian bali wedding,50,0%,0%,Rendah,24,4412.61,11412.55
royal wedding ubud,50,∞,0%,Rendah,6,,
royal wedding ubud 2022,50,0%,0%,Tidak diketahui,,,
rumah luwih bali wedding,50,0%,0%,Menengah,36,,
samabe bali wedding,50,0%,0%,Menengah,35,3989.74,26736.76
samaya ubud wedding,50,∞,0%,Menengah,43,,
semara bali wedding,500,900%,0%,Rendah,2,,
sofitel bali nusa dua wedding,50,0%,0%,Rendah,16,3587.33,35109.51
sofitel bali nusa dua wedding package,50,0%,0%,Menengah,63,9265.34,60178.58
sofitel bali wedding package,50,0%,0%,Menengah,52,,
sofitel nusa dua bali wedding,50,0%,0%,Menengah,33,,
sthala ubud wedding,50,0%,0%,Menengah,57,,
the phalosa seminyak,50,-100%,-100%,Tidak diketahui,,,
the royal santrian bali wedding,50,0%,∞,Rendah,10,,
the surga bali wedding,50,0%,0%,Rendah,3,,
tirtha uluwatu at tirtha bali,50,0%,0%,Tidak diketahui,,,
tirtha uluwatu chapel,50,0%,0%,Rendah,10,,
tirtha uluwatu wedding,50,0%,-90%,Rendah,18,6909.46,34813.40
tirtha uluwatu wedding package price,50,0%,0%,Menengah,42,3834.81,17683.31
top bali wedding venues,500,0%,0%,Menengah,57,10084.11,37871.59
ubud elopement packages,50,0%,0%,Menengah,61,11403.52,28528.10
ubud royal wedding,50,0%,-100%,Tidak diketahui,,,
ubud wedding villa,50,0%,0%,Menengah,44,16737.85,37200.94
venue bali,500,0%,0%,Menengah,45,7860.36,61834.25
villa anugrah bali wedding,50,0%,0%,Rendah,29,,
villa anugrah bali wedding price,50,0%,0%,Tinggi,86,,
villa colony canggu wedding,50,∞,0%,Rendah,19,,
villa di bali untuk prewedding,50,0%,-100%,Tidak diketahui,,,
villa di bali untuk wedding,50,0%,0%,Tinggi,90,4412.61,7166.47
villa for small wedding bali,50,∞,∞,Rendah,29,,
villa khayangan bali,50,0%,0%,Menengah,34,1283.93,12524.08
villa phalosa seminyak bali,50,900%,900%,Rendah,29,3182.81,18352.54
villa plenilunio bali wedding harga,50,0%,0%,Tidak diketahui,,,
villa untuk wedding di bali,50,0%,0%,Tinggi,81,6225.32,13245.10
villa vedas bali wedding,50,0%,0%,Rendah,32,6306.18,37037.47
villa wedding di bali,50,0%,0%,Tinggi,89,,
wedding beach bali,500,0%,0%,Menengah,37,8695.86,33109.50
wedding chapel di bali,50,0%,0%,Menengah,61,3126.06,9117.52
wedding venue canggu,50,0%,0%,Tinggi,80,11403.52,34711.16
wedding venue di bali,500,0%,0%,Menengah,57,5295.99,11605.06
wedding venue in ubud,50,0%,0%,Rendah,5,,
wedding venues in ubud bali,50,0%,-90%,Menengah,59,8060.61,30946.14
wedding venues nusa lembongan,50,0%,0%,Rendah,29,,
wedding villa canggu,50,0%,0%,Tinggi,70,11349.60,22985.22
wedding villa seminyak,50,0%,0%,Tinggi,75,16680.46,51368.76
